lsoa11,r_dec,h_dec,e_dec,ahah_dec
W01000934,9,4,4,7
E01015190,3,9,4,5
E01007121,7,7,4,5
W01001937,1,10,1,6
W01000740,3,7,6,4
E01019153,4,5,5,2
W01000244,8,6,3,4
E01033233,5,7,2,3
W01001210,3,6,3,1
W01001181,2,9,3,5
E01019017,2,9,5,5
E01020090,1,9,2,4
W01000097,2,5,2,1
E01020163,2,6,2,1
W01001761,8,2,10,10
W01001855,9,1,10,10
W01001948,2,7,5,2
W01000854,3,8,6,5
W01000478,2,10,2,6
W01000729,1,8,3,2
E01029291,5,7,3,3
E01018999,10,2,6,10
E01019150,9,2,3,5
W01000231,8,7,3,5
W01000670,1,9,3,3
E01029102,8,6,4,5
W01001740,5,3,8,3
W01000957,5,6,9,7
W01000951,5,7,9,8
W01001404,3,9,6,7
E01007200,9,4,3,4
E01015043,6,5,8,5
W01001856,9,2,10,10
E01020179,1,10,1,7
W01001725,10,2,10,10
W01000067,1,9,1,3
W01001203,1,9,2,3
W01001712,10,2,9,10
E01019169,9,2,4,4
E01018922,1,10,3,8
E01019933,7,7,2,4
W01001441,2,9,3,6
W01001557,9,2,3,3
W01000518,7,6,3,3
E01015130,3,7,5,3
E01007303,6,1,4,1
E01015234,9,3,4,5
E01029321,1,10,3,6
E01020077,1,10,2,9
E01029112,10,3,8,9
E01007308,7,4,4,3
E01018839,10,6,8,10
W01000013,2,10,2,8
W01000004,1,10,1,5
W01000944,1,10,1,7
E01015153,7,2,9,7
E01019257,2,10,2,5
E01018886,6,8,2,3
E01020164,2,5,2,1
W01000008,2,6,2,1
W01000797,3,5,6,2
W01001339,3,8,4,3
E01020062,1,9,3,3
E01019050,2,10,4,7
W01001263,7,8,5,8
W01000210,2,9,2,3
E01019013,3,7,5,2
E01020023,6,4,2,1
E01018967,1,10,2,8
E01033289,1,10,1,9
E01019942,4,7,2,2
W01000979,5,8,6,6
W01001211,4,7,2,2
W01000749,10,2,7,8
W01001060,4,7,4,2
E01019082,5,4,2,1
W01001468,4,8,9,8
E01018769,4,8,2,3
